,mV
1318,2123
1319,2119
1320,2114
1321,2115
1322,2123
1323,2128
1324,2143
1325,2163
1326,2187
1327,2202
1328,2213
1329,2210
1330,2206
1331,2192
1332,2182
1333,2160
1334,2141
1335,2128
1336,2128
1337,2125
1338,2135
1339,2150
1340,2159
1341,2176
1342,2197
1343,2221
1344,2241
1345,2247
1346,2255
1347,2245
1348,2238
1349,2218
1350,2198
1351,2183
1352,2177
1353,2172
1354,2176
1355,2177
1356,2182
1357,2189
1358,2206
1359,2213
1360,2221
1361,2222
1362,2212
1363,2211
1364,2197
1365,2192
1366,2178
1367,2160
1368,2158
1369,2157
1370,2154
1371,2158
1372,2160
1373,2163
1374,2172
1375,2183
1376,2192
1377,2193
1378,2187
1379,2178
1380,2165
1381,2151
1382,2129
1383,2109
1384,2089
1385,2078
1386,2073
1387,2070
1388,2069
1389,2076
1390,2078
1391,2091
1392,2096
1393,2098
1394,2095
1395,2085
1396,2065
1397,2044
1398,2021
1399,1997
1400,1969
1401,1950
1402,1936
1403,1931
1404,1927
1405,1926
1406,1933
1407,1931
1408,1936
1409,1940
1410,1941
1411,1938
1412,1931
1413,1920
1414,1904
1415,1889
1416,1866
1417,1843
1418,1827
1419,1811
1420,1808
1421,1805
1422,1806
1423,1813
1424,1818
1425,1840
1426,1856
1427,1869
1428,1871
1429,1858
1430,1842
1431,1822
1432,1808
1433,1790
1434,1775
1435,1763
1436,1752
1437,1756
1438,1752
1439,1766
1440,1769
1441,1777
1442,1791
1443,1795
1444,1790
1445,1785
1446,1777
1447,1770
1448,1763
1449,1751
1450,1736
1451,1729
1452,1728
1453,1729
1454,1731
1455,1741
1456,1754
1457,1766
1458,1783
1459,1806
1460,1808
1461,1814
1462,1815
1463,1818
1464,1809
1465,1808
1466,1792
1467,1775
1468,1758
1469,1745
1470,1743
1471,1746
1472,1749
1473,1757
1474,1763
1475,1778
1476,1787
1477,1793
1478,1789
1479,1786
1480,1776
1481,1771
1482,1762
1483,1751
1484,1741
1485,1735
1486,1735
1487,1738
1488,1741
1489,1753
1490,1770
1491,1789
1492,1812
1493,1831
1494,1839
1495,1842
1496,1841
1497,1839
1498,1833
1499,1811
1500,1795
1501,1779
1502,1774
1503,1766
1504,1765
1505,1771
1506,1781
1507,1787
1508,1802
1509,1808
1510,1823
1511,1825
1512,1822
1513,1821
1514,1814
1515,1806
1516,1789
1517,1777
1518,1773
1519,1774
1520,1780
1521,1797
1522,1813
1523,1832
1524,1842
1525,1866
1526,1873
1527,1886
1528,1883
1529,1875
1530,1871
1531,1856
1532,1837
1533,1815
1534,1799
1535,1786
1536,1783
1537,1786
1538,1801
1539,1819
1540,1829
1541,1845
1542,1857
1543,1870
1544,1873
1545,1879
1546,1890
1547,1901
1548,1899
1549,1887
1550,1877
1551,1863
1552,1857
1553,1840
1554,1832
1555,1828
1556,1828
1557,1840
1558,1851
1559,1857
1560,1867
1561,1875
1562,1890
1563,1889
1564,1888
1565,1876
1566,1865
1567,1855
1568,1840
1569,1827
1570,1807
1571,1790
1572,1780
1573,1781
1574,1786
1575,1795
1576,1810
1577,1831
1578,1846
1579,1863
1580,1872
1581,1872
1582,1872
1583,1870
1584,1861
1585,1859
1586,1841
1587,1831
1588,1818
1589,1810
1590,1807
1591,1808
1592,1809
1593,1813
1594,1823
1595,1834
1596,1842
1597,1843
1598,1853
1599,1844
1600,1846
1601,1841
1602,1833
1603,1818
1604,1808
1605,1803
1606,1805
1607,1808
1608,1815
1609,1831
1610,1841
1611,1866
1612,1888
1613,1901
1614,1904
1615,1901
1616,1888
1617,1877
1618,1866
1619,1844
1620,1832
1621,1812
1622,1803
1623,1802
1624,1803
1625,1808
1626,1811
1627,1821
1628,1838
1629,1846
1630,1854
1631,1847
1632,1844
1633,1840
1634,1832
1635,1819
1636,1808
1637,1789
1638,1778
1639,1778
1640,1782
1641,1787
1642,1802
1643,1817
1644,1837
1645,1854
1646,1859
1647,1867
1648,1861
1649,1855
1650,1853
1651,1853
1652,1849
1653,1840
1654,1819
1655,1809
1656,1807
1657,1803
1658,1808
1659,1808
1660,1815
1661,1823
1662,1838
1663,1845
1664,1847
1665,1849
1666,1845
1667,1843
1668,1839
1669,1831
1670,1818
1671,1808
1672,1808
1673,1813
1674,1814
1675,1825
1676,1831
1677,1841
1678,1861
1679,1878
1680,1888
1681,1887
1682,1881
1683,1877
1684,1872
1685,1858
1686,1842
1687,1824
1688,1807
1689,1806
1690,1809
1691,1809
1692,1815
1693,1824
1694,1836
1695,1847
1696,1862
1697,1868
1698,1869
1699,1872
1700,1873
1701,1872
1702,1868
1703,1856
1704,1833
1705,1821
1706,1813
1707,1810
1708,1820
1709,1830
1710,1840
1711,1853
1712,1872
1713,1885
1714,1886
1715,1885
1716,1874
1717,1865
1718,1856
1719,1840
1720,1827
1721,1814
1722,1811
1723,1819
1724,1825
1725,1840
1726,1851
1727,1870
1728,1891
1729,1908
1730,1921
1731,1933
1732,1925
1733,1920
1734,1911
1735,1901
1736,1881
1737,1853
1738,1840
1739,1829
1740,1829
1741,1835
1742,1843
1743,1853
1744,1865
1745,1885
1746,1901
1747,1904
1748,1904
1749,1895
1750,1891
1751,1877
1752,1867
1753,1851
1754,1840
1755,1837
1756,1836
1757,1839
1758,1850
1759,1858
1760,1871
1761,1887
1762,1909
1763,1931
1764,1936
1765,1937
1766,1937
1767,1931
1768,1919
1769,1904
1770,1883
1771,1868
1772,1861
1773,1861
1774,1863
1775,1869
1776,1874
1777,1887
1778,1902
1779,1911
1780,1919
1781,1919
1782,1915
1783,1907
1784,1897
1785,1888
1786,1872
1787,1859
1788,1851
1789,1853
1790,1856
1791,1861
1792,1871
1793,1885
1794,1901
1795,1919
1796,1936
1797,1939
1798,1937
1799,1933
1800,1918
1801,1907
1802,1895
1803,1876
1804,1856
1805,1843
1806,1842
1807,1841
1808,1845
1809,1856
1810,1870
1811,1887
1812,1904
1813,1917
1814,1919
1815,1919
1816,1915
1817,1905
1818,1903
1819,1888
1820,1871
1821,1859
1822,1853
1823,1853
1824,1858
1825,1870
1826,1879
1827,1889
1828,1914
1829,1929
1830,1938
1831,1937
1832,1934
1833,1930
1834,1915
1835,1907
1836,1892
1837,1874
1838,1873
1839,1873
1840,1887
1841,1895
1842,1898
1843,1909
1844,1917
1845,1932
1846,1936
1847,1936
1848,1933
1849,1920
1850,1907
1851,1899
1852,1883
1853,1869
1854,1850
1855,1842
1856,1841
1857,1850
1858,1861
1859,1874
1860,1901
1861,1922
1862,1947
1863,1963
1864,1968
1865,1974
1866,1968
1867,1959
1868,1957
1869,1947
1870,1938
1871,1933
1872,1930
1873,1941
1874,1957
1875,1973
1876,1991
1877,2015
1878,2037
1879,2075
1880,2086
1881,2095
1882,2093
1883,2086
1884,2068
1885,2047
1886,2022
1887,2000
1888,1981
1889,1975
1890,1982
1891,1990
1892,1997
1893,2010
1894,2032
1895,2064
1896,2082
1897,2097
1898,2108
1899,2111
1900,2107
1901,2096
1902,2081
1903,2064
1904,2033
1905,2029
1906,2013
1907,2009
1908,2006
1909,2011
1910,2009
1911,2023
1912,2037
1913,2045
1914,2042
1915,2032
1916,2019
1917,2004
1918,1994
1919,1974
1920,1957
1921,1947
1922,1951
1923,1954
1924,1957
1925,1963
1926,1968
1927,1969
1928,1975
1929,1982
1930,1979
1931,1978
1932,1973
1933,1962
1934,1953
1935,1936
1936,1922
1937,1903
1938,1888
1939,1885
1940,1875
1941,1872
1942,1877
1943,1875
1944,1881
1945,1898
1946,1905
1947,1917
1948,1920
1949,1925
1950,1922
1951,1916
1952,1909
1953,1895
1954,1878
1955,1872
1956,1872
1957,1873
1958,1886
1959,1892
1960,1902
1961,1911
1962,1922
1963,1926
1964,1929
1965,1919
1966,1914
1967,1904
1968,1893
1969,1879
1970,1862
1971,1850
1972,1847
1973,1842
1974,1853
1975,1859
1976,1871
1977,1879
1978,1903
1979,1921
1980,1935
1981,1936
1982,1932
1983,1923
1984,1918
1985,1905
1986,1894
1987,1884
1988,1874
1989,1874
1990,1879
1991,1893
1992,1904
1993,1920
1994,1936
1995,1957
1996,1967
1997,1972
1998,1968
1999,1951
2000,1937
2001,1923
2002,1907
2003,1894
2004,1875
2005,1866
2006,1866
2007,1872
2008,1875
2009,1891
2010,1905
2011,
2012,
2013,
2014,1925
2015,1946
2016,1953
2017,1952
2018,1943
2019,1938
2020,1927
2021,1929
2022,1917
2023,1911
2024,1904
2025,1905
2026,1908
2027,1917
2028,1919
2029,1927
2030,1944
2031,1958
2032,1981
2033,1993
2034,2003
2035,1999
2036,1989
2037,1978
2038,1968
2039,1946
2040,1935
2041,1924
2042,1931
2043,1942
2044,1959
2045,1982
2046,2005
2047,2035
2048,2080
2049,2117
2050,2158
2051,2191
2052,2223
2053,2254
2054,2290
2055,2333
2056,2373
2057,2419
2058,2480
2059,2547
2060,2634
2061,
2062,
2063,
2064,2719
2065,2814
2066,2915
2067,3023
2068,3145
2069,3264
2070,3376
2071,3490
2072,3598
2073,3699
2074,3795
2075,3886
2076,3958
2077,4011
2078,4048
2079,4064
2080,4039
2081,3984
2082,1987
2083,1994
2084,1999
2085,2005
2086,2017
2087,2032
2088,2035
2089,2034
2090,2031
2091,2023
2092,2007
2093,1994
2094,1983
2095,1963
2096,1947
2097,1936
2098,1936
2099,1943
2100,1954
2101,1961
2102,1973
2103,1990
2104,2015
2105,2031
2106,2033
2107,2030
2108,2029
2109,2015
2110,2001
2111,1985
2112,1964
2113,1940
2114,1935
2115,1932
2116,1934
2117,1940
2118,
2119,
2120,
2121,1958
2122,1968
2123,1990
2124,2003
2125,2015
2126,2023
2127,2021
2128,2015
2129,2011
2130,2000
2131,1988
2132,1973
2133,1958
2134,1950
2135,1941
2136,1948
2137,1953
2138,1965
2139,2041
2140,2067
2141,2091
2142,2111
2143,2122
2144,2124
2145,2122
2146,2113
2147,2107
2148,2096
2149,2077
2150,2062
2151,2043
2152,2036
2153,2045
2154,2046
2155,2061
2156,2067
2157,2084
2158,2099
2159,2117
2160,2127
2161,2128
2162,2128
2163,2128
2164,2128
2165,2125
2166,2112
2167,2101
2168,2095
2169,2096
2170,2099
2171,2106
2172,2113
2173,2121
2174,2135
2175,2157
2176,2173
2177,
2178,
2179,2182
2180,2188
2181,2189
2182,2189
2183,2182
2184,2174
2185,2165
2186,2159
2187,2158
2188,2160
2189,2161
2190,2166
2191,2183
2192,2196
2193,2220
2194,2237
2195,2241
2196,2235
2197,2189
2198,2173
2199,2152
2200,2138
2201,2123
2202,2107
2203,2091
2204,2071
2205,2064
2206,2059
2207,2060
2208,2059
2209,2064
2210,2070
2211,2076
2212,2087
2213,2090
2214,2085
2215,2075
2216,2061
2217,2034
2218,2014
2219,1991
2220,1965
2221,1936
2222,1917
2223,1905
2224,1901
2225,1897
2226,1887
2227,1894
2228,1899
2229,1907
2230,1920
2231,1921
2232,1918
2233,1916
2234,1904
2235,
2236,
2237,
2238,1890
2239,1872
2240,1846
2241,1824
2242,1808
2243,1796
2244,1783
2245,1779
2246,1779
2247,1785
2248,1793
2249,1801
2250,1808
2251,1810
2252,1809
2253,1806
2254,1801
2255,1793
2256,1801
2257,1795
2258,1790
2259,1789
2260,1776
2261,1767
2262,1749
2263,1741
2264,1739
2265,1744
2266,
2267,
2268,
2269,1751
2270,1762
2271,1774
2272,1790
2273,1806
2274,1814
2275,1824
2276,1821
2277,1817
2278,1809
2279,1799
2280,1791
2281,1777
2282,1765
2283,1762
2284,1757
2285,1754
2286,1765
2287,1770
2288,1776
2289,1786
2290,1802
2291,1809
2292,1814
2293,1809
2294,1813
2295,1809
2296,1807
2297,1799
2298,1789
2299,1779
2300,1774
2301,1771
2302,1778
2303,1779
2304,1795
2305,1807
2306,1824
2307,1840
2308,1851
2309,1857
2310,1858
2311,1856
2312,1837
2313,1818
2314,1806
2315,1795
2316,1794
2317,1799
2318,1806
2319,1819
2320,1840
2321,1863
2322,1886
2323,1900
2324,1899
2325,1897
2326,1887
2327,1875
2328,1867
2329,1850
2330,1823
2331,1826
2332,1841
2333,
2334,
2335,
2336,1859
2337,1867
2338,1867
2339,1866
2340,1850
2341,1840
2342,1826
2343,1805
2344,1791
2345,1776
2346,1775
2347,1778
2348,1787
2349,1797
2350,1819
2351,1839
2352,1861
2353,1877
2354,1888
2355,1886
2356,1887
2357,1879
2358,1872
2359,1857
2360,1830
2361,1819
2362,1806
2363,1797
2364,1801
2365,1805
2366,1808
2367,1811
2368,1827
2369,1847
2370,1859
2371,1869
2372,1866
2373,1866
2374,1863
2375,1856
2376,1840
2377,1825
2378,1816
2379,1813
2380,
2381,
2382,
2383,1821
2384,1827
2385,1841
2386,1847
2387,1858
2388,1872
2389,1884
2390,1884
2391,1875
2392,1870
2393,1857
2394,1846
2395,1833
2396,1812
2397,1797
2398,1791
2399,1789
2400,1793
2401,1844
2402,1838
2403,1830
2404,1830
2405,1834
2406,1841
2407,1847
2408,1861
2409,1875
2410,1885
2411,
2412,
2413,
2414,
2415,1892
2416,1891
2417,1887
2418,1888
2419,1878
2420,1870
2421,1856
2422,1843
2423,1841
2424,1840
2425,1847
2426,1851
2427,1861
2428,1869
2429,1876
2430,1891
2431,1897
2432,1901
2433,1903
2434,1904
2435,1903
2436,1900
2437,1883
2438,1870
2439,1855
2440,1844
2441,1842
2442,1845
2443,1847
2444,1855
2445,1862
2446,1875
2447,1886
2448,1893
2449,1903
2450,1902
2451,1901
2452,1898
2453,1900
2454,1887
2455,1877
2456,1871
2457,1863
2458,1867
2459,1893
2460,1893
2461,1902
2462,
2463,
2464,
2465,1913
2466,1921
2467,1936
2468,1947
2469,1966
2470,1977
2471,1985
2472,1991
2473,2000
2474,2001
2475,2005
2476,2002
2477,1997
2478,1993
2479,1985
2480,1988
2481,1986
2482,1823
2483,1836
2484,1840
2485,1857
2486,1883
2487,1905
2488,1926
2489,1934
2490,1937
2491,1933
2492,1921
2493,1904
2494,1889
2495,1871
2496,1855
2497,1856
2498,1855
2499,1859
2500,1866
2501,1873
2502,1885
2503,1902
2504,1917
2505,1922
2506,1926
2507,1922
