,mV
996,1941
997,1941
998,1934
999,1932
1000,1922
1001,1911
1002,1901
1003,1887
1004,1882
1005,1882
1006,1888
1007,1890
1008,1895
1009,1904
1010,1915
1011,1925
1012,1927
1013,1930
1014,1929
1015,1921
1016,1920
1017,1916
1018,1904
1019,1898
1020,1891
1021,1891
1022,1895
1023,1899
1024,1907
1025,1917
1026,1931
1027,1943
1028,1955
1029,1959
1030,1951
1031,1949
1032,1941
1033,1933
1034,1915
1035,1899
1036,1882
1037,1871
1038,1865
1039,1868
1040,1869
1041,1873
1042,1883
1043,1903
1044,1918
1045,1930
1046,1936
1047,1939
1048,1947
1049,1950
1050,
1051,1947
1052,1945
1053,1938
1054,1936
1055,1937
1056,1937
1057,1940
1058,1941
1059,1943
1060,1951
1061,1966
1062,1970
1063,1972
1064,1972
1065,1970
1066,1968
1067,1962
1068,1952
1069,1941
1070,1936
1071,1930
1072,1936
1073,1943
1074,1953
1075,1967
1076,1975
1077,1987
1078,2000
1079,2014
1080,2015
1081,2014
1082,2006
1083,2001
1084,1991
1085,1985
1086,1971
1087,1962
1088,1958
1089,1959
1090,1968
1091,1973
1092,1981
1093,1987
1094,2000
1095,2015
1096,2021
1097,2021
1098,2017
1099,2015
1100,2010
1101,2003
1102,1997
1103,1983
1104,1977
1105,1979
1106,1986
1107,1988
1108,2000
1109,2015
1110,2029
1111,2045
1112,2064
1113,2074
1114,2075
1115,2074
1116,2069
1117,2066
1118,2064
1119,2055
1120,2042
1121,2032
1122,2031
1123,2032
1124,2035
1125,2045
1126,2061
1127,2065
1128,2078
1129,2083
1130,2086
1131,2080
1132,2076
1133,2071
1134,2067
1135,2064
1136,2055
1137,2045
1138,2045
1139,2043
1140,2055
1141,2064
1142,2077
1143,2091
1144,2106
1145,2119
1146,2128
1147,2133
1148,2135
1149,2134
1150,2129
1151,2123
1152,2112
1153,2096
1154,2088
1155,2083
1156,2080
1157,2083
1158,2083
1159,2088
1160,2096
1161,2103
1162,2112
1163,2112
1164,2111
1165,2099
1166,2098
1167,2093
1168,2085
1169,2071
1170,2065
1171,2058
1172,2063
1173,2064
1174,2074
1175,2089
1176,2096
1177,2108
1178,2119
1179,2129
1180,2129
1181,2125
1182,2117
1183,2112
1184,2106
1185,2096
1186,2082
1187,2065
1188,2059
1189,2059
1190,2062
1191,2064
1192,2074
