,mV
1236,1840
1237,1869
1238,1896
1239,1881
1240,1878
1241,1869
1242,1856
1243,1841
1244,1834
1245,1823
1246,1821
1247,1826
1248,1831
1249,1851
1250,1872
1251,1899
1252,1920
1253,1936
1254,1950
1255,1957
1256,1963
1257,1962
1258,1949
1259,1927
1260,1902
1261,1879
1262,1853
1263,1834
1264,1820
1265,1810
1266,1823
1267,1838
1268,1861
1269,1891
1270,1919
1271,1941
1272,1954
1273,1956
1274,1947
1275,1935
1276,1919
1277,1903
1278,1879
1279,1869
1280,1858
1281,1854
1282,1850
1283,1856
1284,1872
1285,1894
1286,1909
1287,1931
1288,1939
1289,1942
1290,1936
1291,1920
1292,1893
1293,1866
1294,1846
1295,1835
1296,1835
1297,1840
1298,1857
1299,1879
1300,1915
1301,1949
1302,1974
1303,2000
1304,2015
1305,2021
1306,2017
1307,2000
1308,1978
1309,1955
1310,1922
1311,1902
1312,1877
1313,1861
1314,1850
1315,1844
1316,1850
1317,1858
1318,1872
1319,1890
1320,1903
1321,1915
1322,1921
1323,1922
1324,1923
1325,1914
1326,1899
1327,1877
1328,1865
1329,1856
1330,1855
1331,1857
1332,1858
1333,1871
1334,1890
1335,1910
1336,1931
1337,1939
1338,1952
1339,1963
1340,1962
1341,1953
1342,1943
1343,1933
1344,1920
1345,1913
1346,1910
1347,1910
1348,1915
1349,1921
1350,1936
1351,1952
1352,1964
1353,1970
1354,1981
1355,1973
1356,1963
1357,1937
1358,1916
1359,1890
1360,1869
1361,1855
1362,1855
1363,1857
1364,1871
1365,1887
1366,1907
1367,1931
1368,1953
1369,1983
1370,2007
1371,2031
1372,2042
1373,2054
1374,2047
1375,2032
1376,2017
1377,1986
1378,1961
1379,1931
1380,1919
1381,1904
1382,1897
1383,1904
1384,1917
1385,1936
1386,1958
1387,1977
1388,1990
1389,2000
1390,2009
1391,2007
1392,1984
1393,1967
1394,1940
1395,1919
1396,1902
1397,1890
1398,1881
1399,1885
1400,1900
1401,1919
1402,1935
1403,1948
1404,1962
1405,1968
1406,1968
1407,1968
1408,1959
1409,1949
1410,1937
1411,1936
1412,1936
1413,1933
1414,1931
1415,1930
1416,1936
1417,1950
1418,1967
1419,1982
1420,1995
1421,1997
1422,1994
1423,1984
1424,1968
1425,1946
1426,1924
1427,1904
1428,1888
1429,1875
1430,1878
1431,1886
1432,1900
1433,1917
1434,1942
1435,1968
1436,1986
1437,2004
1438,2013
1439,2022
1440,2023
1441,2015
1442,1999
1443,1978
1444,1959
1445,1936
1446,1926
1447,1920
1448,1921
1449,1933
1450,1951
1451,1977
1452,2000
1453,2019
1454,2032
1455,2032
1456,2029
1457,2014
1458,1999
1459,1984
1460,1970
1461,1955
1462,1938
1463,1933
1464,1924
1465,1921
1466,1921
1467,1930
1468,1937
1469,1952
1470,1965
1471,1973
1472,1979
1473,1983
1474,1984
1475,1982
1476,1969
1477,1958
1478,1945
1479,1941
1480,1950
1481,1966
1482,1979
1483,2000
1484,2031
1485,2059
1486,2080
1487,2090
1488,2096
1489,2095
1490,2091
1491,2085
1492,2064
1493,2037
1494,2022
1495,2007
1496,2002
1497,2000
1498,2007
1499,2017
1500,2032
1501,2046
1502,2063
1503,2063
1504,2064
1505,2059
1506,2053
1507,2043
1508,2031
