,mV
1169,1862
1170,1872
1171,1873
1172,1872
1173,1865
1174,1857
1175,1845
1176,1831
1177,1814
1178,1790
1179,1781
1180,1782
1181,1793
1182,1801
1183,1813
1184,1827
1185,1844
1186,1865
1187,1869
1188,1863
1189,1866
1190,1857
1191,1843
1192,1830
1193,1808
1194,1788
1195,1769
1196,1765
1197,1765
1198,1767
1199,1785
1200,1802
1201,1827
1202,1856
1203,1873
1204,1886
1205,1891
1206,1889
1207,1887
1208,1874
1209,1867
1210,1846
1211,1829
1212,1823
1213,1817
1214,1833
1215,1845
1216,1865
1217,1883
1218,1910
1219,1936
1220,1949
1221,1954
1222,1954
1223,1939
1224,1937
1225,1925
1226,1907
1227,1886
1228,1868
1229,1866
1230,1863
1231,1873
1232,1887
1233,1899
1234,1921
1235,1941
1236,1957
1237,1962
1238,1958
1239,1960
1240,1956
1241,1950
1242,1939
1243,1920
1244,1910
1245,1906
1246,1904
1247,1907
1248,1905
1249,1932
1250,1943
1251,1968
1252,1995
1253,2000
1254,2003
1255,2003
1256,1998
1257,1981
1258,1968
1259,1950
1260,1925
1261,1904
1262,1893
1263,1891
1264,1897
1265,1904
1266,1915
1267,1930
1268,1963
1269,1990
1270,2006
1271,2019
1272,2026
1273,2027
1274,2011
1275,1997
1276,1975
1277,1953
1278,1934
1279,1927
1280,1919
1281,1927
1282,1937
1283,1937
1284,1958
1285,1974
1286,1983
1287,1983
1288,1968
1289,1963
1290,1943
1291,1933
1292,1920
1293,1904
1294,1887
1295,1876
1296,1873
1297,1877
1298,1877
1299,1881
1300,1893
1301,1902
1302,1911
1303,1923
1304,1913
1305,1903
1306,1884
1307,1871
1308,1843
1309,1828
1310,1802
1311,1776
1312,1759
1313,1750
1314,1749
1315,1748
1316,1749
1317,1755
1318,1772
1319,1785
1320,1791
1321,1790
1322,1791
1323,1781
1324,1778
1325,1766
1326,1749
1327,1733
1328,1710
1329,1701
1330,1690
1331,1686
1332,1685
1333,1689
1334,1699
1335,1715
1336,1734
1337,1741
1338,1741
1339,1742
1340,1734
1341,1725
1342,1711
1343,1687
1344,1675
1345,1662
1346,1664
1347,1665
1348,1667
1349,1674
1350,1681
1351,1697
1352,1716
1353,1721
1354,1727
1355,1723
1356,1715
1357,1707
1358,1693
1359,1680
1360,1659
1361,1637
1362,1626
1363,1619
1364,1628
1365,1631
1366,1645
1367,1657
1368,1683
1369,1703
1370,1715
1371,1712
1372,1711
1373,1699
1374,1681
1375,1667
1376,1650
1377,1638
1378,1629
1379,1627
1380,1633
1381,1647
1382,1661
1383,1680
1384,1705
1385,1734
1386,1762
1387,1776
1388,1779
1389,1790
1390,1782
1391,1774
1392,1755
1393,1734
1394,1712
1395,1702
1396,1696
1397,1696
1398,1705
1399,1715
1400,1733
1401,1755
1402,1778
1403,1794
1404,1804
1405,1802
1406,1792
1407,1779
1408,1765
1409,1750
1410,1733
1411,1717
1412,1712
1413,1718
1414,1727
1415,1739
1416,1753
1417,1767
1418,1791
1419,1815
1420,1829
1421,1828
1422,1829
1423,1826
1424,1826
1425,1818
1426,1808
