,mV
1768,1989
1769,1952
1770,1919
1771,1894
1772,1884
1773,1897
1774,1933
1775,1974
1776,2003
1777,2032
1778,2070
1779,2094
1780,2099
1781,2093
1782,2047
1783,1996
1784,1932
1785,1870
1786,1798
1787,1727
1788,1680
1789,1675
1790,1691
1791,1727
1792,1775
1793,1811
1794,1865
1795,1906
1796,1959
1797,1986
1798,1986
1799,1971
1800,1946
1801,1909
1802,1869
1803,1811
1804,1761
1805,1728
1806,1725
1807,1744
1808,1781
1809,1831
1810,1872
1811,1908
1812,1945
1813,1967
1814,1959
1815,1926
1816,1871
1817,1814
1818,1763
1819,1718
1820,1657
1821,1609
1822,1591
1823,1600
1824,1643
1825,1701
1826,1767
1827,1829
1828,1889
1829,1947
1830,1983
1831,1984
1832,1958
1833,1904
1834,1841
1835,1782
1836,1728
1837,1680
1838,1667
1839,1686
1840,1728
1841,1780
1842,1837
1843,1878
1844,1916
1845,1955
1846,1984
1847,1986
1848,1963
1849,1919
1850,1858
1851,1803
1852,1754
1853,1697
1854,1654
1855,1638
1856,1650
1857,1689
1858,1748
1859,1808
1860,1865
1861,1925
1862,1978
1863,2000
1864,2003
1865,1974
1866,1919
1867,1869
1868,1810
1869,1764
1870,1709
1871,1670
1872,1670
1873,1694
1874,1737
1875,1784
1876,1834
1877,1867
1878,1909
1879,1958
1880,1985
1881,1987
1882,1973
1883,1940
1884,1906
1885,1871
1886,1824
1887,1776
1888,1731
1889,1723
1890,1739
1891,1761
1892,1795
1893,1826
1894,1856
1895,1893
1896,1925
1897,1937
1898,1925
1899,1903
1900,1861
1901,1828
1902,1798
1903,1764
1904,1731
1905,1723
1906,1743
1907,1782
1908,1840
1909,1894
1910,1934
1911,1966
1912,1991
1913,2009
1914,1995
1915,1952
1916,1891
1917,1830
1918,1776
1919,1728
1920,1678
1921,1636
1922,1618
1923,1633
1924,1664
1925,1715
1926,1778
1927,1842
1928,1910
1929,1984
1930,2031
1931,2055
1932,2032
1933,2000
1934,1951
1935,1898
1936,1830
1937,1755
1938,1693
1939,1666
1940,1666
1941,1682
1942,1719
1943,1765
1944,1811
1945,1863
1946,1909
1947,1937
1948,1939
1949,1927
1950,1891
1951,1847
1952,1801
1953,1744
1954,1691
1955,1659
1956,1663
1957,1683
1958,1719
1959,1757
1960,1794
1961,1835
1962,1877
1963,1916
1964,1925
1965,1915
1966,1872
1967,1812
1968,1749
1969,1689
1970,1633
1971,1595
1972,1599
1973,1638
1974,1700
1975,1775
1976,1851
1977,1919
1978,1975
1979,2025
1980,2043
1981,2036
1982,2006
1983,1961
1984,1900
1985,1831
1986,1759
1987,1685
1988,1631
1989,1606
1990,1608
1991,1626
1992,1655
1993,1690
1994,1734
1995,1778
1996,1829
1997,1857
1998,1869
1999,1859
2000,1840
2001,1815
2002,1794
2003,1759
