,0
167,1523.0
168,1471.0
169,1463.0
170,1485.0
171,1546.0
172,1606.0
173,1675.0
174,1740.0
175,1808.0
176,1872.0
177,1911.0
178,1919.0
179,1893.0
180,1853.0
181,1797.0
182,1740.0
183,1679.0
184,1615.0
185,1585.0
186,1597.0
187,1626.0
188,1685.0
189,1744.0
190,1802.0
191,1858.0
192,1925.0
193,1974.0
194,2001.0
195,1999.0
196,1963.0
197,1909.0
198,1854.0
199,1795.0
200,1737.0
201,1691.0
202,1680.0
203,1698.0
204,1734.0
205,1787.0
206,1838.0
207,1889.0
208,1933.0
209,1984.0
210,2017.0
211,2028.0
212,2011.0
213,1975.0
214,1929.0
215,1877.0
216,1826.0
217,1776.0
218,1744.0
219,1741.0
220,1774.0
221,1812.0
222,1872.0
223,1923.0
224,1962.0
225,2010.0
226,2045.0
227,2063.0
228,2043.0
229,1998.0
230,1941.0
231,1876.0
232,1825.0
233,1763.0
234,1711.0
235,1686.0
236,1696.0
237,1733.0
238,1779.0
239,1830.0
240,1874.0
241,1920.0
242,1963.0
243,1995.0
244,2009.0
245,1995.0
246,1954.0
247,1904.0
248,1840.0
249,1778.0
250,1712.0
251,1648.0
252,1622.0
253,1633.0
254,1672.0
255,1719.0
256,1775.0
257,1821.0
258,1872.0
259,1926.0
260,1963.0
261,1974.0
262,1962.0
263,1916.0
264,1869.0
265,1808.0
266,1745.0
267,1679.0
268,1634.0
269,1626.0
270,1648.0
271,1696.0
272,1746.0
273,1807.0
274,1867.0
275,1927.0
276,1989.0
277,2018.0
278,2014.0
279,1974.0
280,1913.0
281,1850.0
282,1781.0
283,1716.0
284,1652.0
285,1616.0
286,1619.0
287,1658.0
288,1712.0
289,1775.0
290,1831.0
291,1883.0
292,1936.0
293,1974.0
294,1985.0
295,1978.0
296,1948.0
297,1903.0
298,1856.0
299,1813.0
300,1764.0
301,1719.0
302,1712.0
303,1729.0
304,1776.0
305,1824.0
306,1877.0
307,1922.0
308,1971.0
309,2014.0
310,2045.0
311,2046.0
312,2014.0
313,1964.0
314,1893.0
315,1839.0
316,1773.0
317,1703.0
318,1667.0
319,1665.0
320,1703.0
321,1762.0
322,1836.0
323,1909.0
324,1973.0
325,2045.0
326,2112.0
327,2147.0
328,2152.0
329,2126.0
330,2081.0
331,2028.0
332,1969.0
333,1920.0
334,1861.0
335,1827.0
336,1829.0
337,1853.0
338,1904.0
339,1953.0
340,1995.0
341,2032.0
342,2085.0
343,2113.0
344,2122.0
345,2095.0
346,2046.0
347,1986.0
348,1931.0
349,1879.0
350,1815.0
351,1769.0
352,1759.0
353,1786.0
354,1844.0
355,1925.0
356,2009.0
357,2095.0
358,2173.0
359,2247.0
360,2310.0
361,2345.0
362,2350.0
363,2330.0
364,2307.0
365,2288.0
366,2274.0
367,2255.0
368,2263.0
369,2311.0
370,2387.0
371,2491.0
372,2614.0
373,2739.0
374,2863.0
375,3003.0
376,3147.0
377,3270.0
378,3370.0
379,3445.0
380,3510.0
381,3559.0
382,3626.0
383,3651.0
384,3690.0
385,3731.0
386,3815.0
387,3901.0
388,3994.0
389,4035.0
390,4009.0
391,3934.0
392,3795.0
393,3635.0
394,3437.0
395,3239.0
396,3018.0
397,2800.0
398,2598.0
399,2401.0
400,2222.0
401,2066.0
402,1966.0
403,1911.0
404,1904.0
405,1935.0
406,1973.0
407,2030.0
408,2096.0
409,2161.0
410,2212.0
411,2234.0
412,2228.0
413,2195.0
414,2160.0
415,2113.0
416,2059.0
417,2002.0
418,1965.0
419,1957.0
420,1974.0
421,2015.0
422,2076.0
423,2134.0
424,2182.0
425,2229.0
426,2269.0
427,2290.0
428,2275.0
429,2229.0
430,2176.0
431,2121.0
432,2067.0
433,2003.0
434,1940.0
435,1914.0
436,1910.0
437,1936.0
438,1974.0
439,2022.0
440,2065.0
441,2101.0
442,2142.0
443,2173.0
444,2174.0
445,2144.0
446,2096.0
447,2029.0
448,1966.0
449,1901.0
450,1839.0
451,1785.0
452,1763.0
453,1774.0
454,1799.0
455,1856.0
456,1915.0
457,1961.0
458,2016.0
459,2069.0
460,2096.0
461,2087.0
462,2046.0
463,1979.0
464,1906.0
